,track_id,song_duration
0,5OFMeePbu2eEX1Hyf2tzYj,2:49
1,29kkmN00FdzizRg5xrVmBF,3:16
2,7L1tQKY6mcy0sGXntrABgW,2:07
3,4jwDiUBqLQCCuyWkbX87qN,2:49
4,2DYUk5AkUV7kPTvd58LVCw,2:07
5,31SVg9OKD4b6RA4hQqLBCL,3:51
6,0JyYgiWVsz7QlDuTO3NFou,1:53
7,1IhUCj4bBbTWRRJdxQZCnw,2:22
8,7i3AJazliXBKfd2UkKPq1J,2:17
9,6T0mPmrzUj73ffJYXEGssX,3:02
10,0zptxdCdYdT6fgmk0r2kD0,2:40
11,1qVcZ2h7XFulVUQPpk3DAJ,4:13
12,29MMBXr9IzISbQxJzct5Xs,4:57
13,2xHjky9yP5yLWtQIvaI3oN,1:48
14,6tLUOSrXpsi03Ue2NbJvtq,3:26
15,7tXt4Lq1CKAxW4lgNdWZk0,5:04
16,1FwcxSblHQQFocYGESxFq2,2:48
17,6p260NIlNDfqThNlAivSPs,3:15
18,4qdi9HUCyTrLqefgcvjE26,2:30
19,09ZMyaehWB3SkUTHN0dICO,2:30
20,6TKWS6IIngxY151eadAMY9,2:59
21,2VxQJwE4AwMbNXkQKVeoZH,2:28
22,3rYZYQ028Wvp4zdyZjl6FF,1:50
23,37uk88Ht49lXp5n0ZS8pVm,3:49
24,4pyjtPEpFoRO3SoSskBBxK,3:23
25,3xKRIv8VqamIxFVUnI4HeF,3:48
26,5dGgAKgDBBBNO6w0JGVSAm,3:52
27,4anjRwVfTMHvNk6Hcl30SC,3:00
28,0gLfwbHjDj1lDLTGDlPwtp,2:41
29,1PgxQnBiJ0tURtp6jxPp5s,2:56
30,5NdDG8wBn6maEvQLdprl5L,3:30
31,0UmALfnA0llRF3mODFS31J,1:54
32,5H7nzRINo3y3oWzsgi4lfN,3:34
33,31v9P9sRrTHrHm2EtIbJS0,3:05
34,6zRnVUpSFqxYEePl0nEPH6,2:36
35,5zA2wSwarhgQre5mDP1RbX,1:37
36,2gHSIF745SC4kcMJ08W5vH,2:21
37,5PpJwfQC2zyPCb18s8SA6P,3:02
38,33xuOlwEgiHbdG8SMz2DTS,3:05
39,4iHLD5fvo1Um61d6K4EhXv,2:31
40,3CMfSMnYVEBaorqQWJycOB,2:28
41,120c83yaB5KBMotKPf2L1U,2:52
42,1zoSTAAeYIjz9WOlOX0QOJ,3:32
43,7CMD3DBKH8tDpo4Lc7eKtJ,2:29
44,0E1BogC63aEks56pXDYUPW,4:09
45,1WjJxJvRqb4Ux77bRi1v91,2:14
46,7oLZ7lamwD0lYC9pGvedE3,2:10
47,7tOpZZpVqdvy2ltRNkGE6Z,3:29
48,2cc32GlSGB6J2G22sYvM2U,2:08
49,3Onn1iTjb6vSlc9V4y0LAU,2:24
50,5zhZIrsHpD70X9p42UnbTQ,3:38
51,5rPWW4eBDlxu1PVHF6kHnN,2:08
52,0bVVuPLHPrg9SQmBw8IFQ9,2:37
53,1UgQFr2iHBnPzjL9mNhTyY,2:30
54,4E7eno6IDZB3CsumhrbKav,2:52
55,5eGDJ2TLDEjhtcMtZg5vJ8,2:14
56,4wzewh0FGIeqhQFTLqD5e0,3:35
57,5MBU1ncTCXzEUTYOz6mRGG,2:00
58,51hz2XGKxezj37XyNIHSw9,2:18
59,0X0vCg3EPUpaHwXxJQBl24,1:05
60,4capW6GwherJCibDG5PIr1,1:42
61,1GBX8KD4Xehi48npWustso,1:23
62,5IS27liEPAcZKDCmPv1ZL4,1:58
63,18UDjrN123poCJH7uNIED0,1:44
64,7CJrlQ0OvmvaNMrfWqrIRO,3:29
65,4obM15MRfboaAz7AEe8oix,1:46
66,4ZC4m8NlroHzviieKhUQST,1:29
67,3DBTEhgd0eMFUWHBFORK4h,3:21
68,4TKZ7c5erzRwAB4VIze98g,1:45
69,2KEqBuTbJvaOsLFVMbV9EU,0:53
70,2WoUxRkeSqSck3lh3dQiXZ,1:58
71,1Cbvj2NJOfMRZyTs6KHkWB,2:03
72,6x6DrfVRfdyZshF42v0NHY,4:12
73,3hMIv5XOqjSozTfwuPMveW,2:48
74,2hMqse7dmXKHFYMzGf9JaE,1:58
75,2Rpaa7KlT4BQUMxYHjymoD,3:19
76,3tXg3qPMNXlcU0POdt3CLD,3:31
77,6GkXaOIZAhdXCgYM0DVnZW,2:51
78,2c98TjDaNTlf6ZFJK7aciT,2:56
79,4HYiKNsgzJzMqkT2onWpov,3:09
80,6PtryYzBUuQ11Gl5yzgyMX,2:58
81,6i6lIHgnZxc5kvyCSYMl4D,1:47
82,22h9SuxALgvL9hAvtL3rTO,2:19
83,1sM7xxSK2MIzsOZge0EQhR,2:26
84,4zBfzmzQSm9VQKL6brAURR,3:09
85,7yRyDiVngGXZmgo4U6fd19,3:14
86,1FirP2vMvtCTczcH4vWAhq,2:24
87,0QBKMAMDWSRRTzZidTmHQm,3:14
88,6cKVKlVEj0RYR4rFH9j4Xc,2:02
89,1KCSgvyCljlHylVTDhyLBP,2:32
90,2zyzVLhlxFtGTbjJzd1eKy,2:24
91,04JK0cGIBdsKe9JLTtj9oK,2:38
92,2QaPRP31RgjrkPZ0LRzEbt,2:59
93,2w9cYGSVGfnlADeAHoiC20,4:09
94,4jueeVsEGjgalaino8BD1I,1:43
95,0RTATMVffVJyDOAF8L8zE3,2:03
96,3x3z0xtK9x8aayoNr2iY90,2:24
97,23666GaMG2abzrN8ItkD6o,2:38
98,2Pv6NkdYbk2SEm7QHU8HIO,2:49
99,5ho4CTQchnva0iS3J4cwce,1:35
100,3B46nBOqXEV7ZBmgyzXUnq,1:36
101,5aIInPdqDdoWCiyGOTX9DA,3:38
102,18Cj9dXdUu33gNWpLvjTRd,2:17
103,4dV8dNx7vTFK1akhBSDT9w,1:45
104,6jx07lFbue79rpkbzjYIdv,2:19
105,5ELgLDl7aRD4e2WxVBs134,1:58
106,58XHpoX0hpsICfiVJfVqXx,3:19
107,5jBzR4kLU2JmF4BhgkClMi,3:31
108,3haftVy9pFjrP6SmA6nHzS,2:50
109,0WQWyKPapqtbiwJDib4RlQ,3:09
110,59ZyM2wF2fajyakkCvCYrZ,1:45
111,5YttsHZH6xBmHekXbh2ULk,2:19
112,0Ba8hqLa8qVKlxLIR9Vb4t,2:26
113,2kb7Dmesixyb1xmEo9DRpk,3:14
114,1HBFzQeKNIGl17uVYuR7xg,2:24
115,2Xdo0md6jJZcAMAzrN5wFj,3:14
116,2fTsKjw164znOwUjWtLLc4,2:24
117,6lT6BNneolMnRmCUqU0zSH,2:38
118,71xrCbRSRGkRg1Si1WUaUg,2:59
119,289hCaa4EpBYMvdETDUBXZ,4:09
120,512XGDnHhJoCMGu1YFR9rj,1:43
